Address
1 N Ogden Ave 
1 N Ogden Ave 
10 S Kedzie Ave 
10 S Kedzie Ave 
10001 S Woodlawn Ave 
10001 S Woodlawn Ave 
1001 W Roosevelt Rd 
1001 W Roosevelt Rd 
1020 W Bryn Mawr Ave 
1030 W Van Buren St 
1030 W Van Buren St 
10509 S Torrence Ave 
10509 S Torrence Ave 
10612 S Wentworth 
1100 S May St 
1100 S May St 
1110 W Belmont Ave 
1120 N Lamon Ave 
1124 W Ainslie St 
11410 S Edbrooke Ave 
11410 S Edbrooke Ave 
1145 W Wilson Ave 
11640 S Wentworth Ave 
11640 S Wentworth Ave 
124 E 113th St 
124 E 113th St 
1300 E 75th St 
1312 S Racine Ave 
1312 S Racine Ave 
1345 N Karlov Ave 
1354 W 61st St 
1449 S Keeler Ave 
1449 S Keeler Ave 
1500 N Mason Ave 
1500 W 69th St 
1501 N Harding Ave 
1539 S Springfield Ave 
1539 S Springfield Ave 
1545 W Morse Ave 
1631 E 71st St 
1633 N Hamlin Ave 
1652 W Foster Ave 
1653 W 43rd St 
1701 W Superior St 
1711 W 35th St 
1711 W 35th St 
1711 W Garfield Blvd 
1718 S Loomis Blvd 
1718 S Loomis Blvd 
1723 W 35th St 
1723 W 35th St 
1738 W Marquette Rd 
1754 W Devon Ave 
1814 S Paulina St 
1814 S Paulina St 
1834 N Lawndale Ave 
1900 W Van Buren St 
1900 W Van Buren St 
1951 W 19th St 
1951 W 19th St 
2001 W Pierce Ave 
2020 W Roosevelt Rd 
2020 W Roosevelt Rd 
2141 S Tan Ct 
2141 S Tan Ct 
2141 W 79th St 
2325 S California Ave 
2325 S California Ave 
2326 S Dearborn St 
2326 S Dearborn St 
2334 E 75th 
2401 S Wabash Ave 
2414 S Albany Ave 
2414 S Albany Ave 
2424 W Touhy Ave 
2434 S Kildare Ave 
2434 S Kildare Ave 
2507 N Greenview Ave 
2610 N Francisco Ave 
2610 W 25th Pl 
2610 W 25th Pl 
2700 S Western Ave 
2700 S Western Ave 
2710 E 89th St 
2718 W 59th St 
2739 W Division St 
2820 N Leavitt St 
2850 S Michigan Ave 
2905 N Leavitt St 
2929 S Wabash Ave 
2929 W 19th St 
2929 W 19th St 
2950 W 25th St 
2950 W 25th St 
2974 N Clybourn Ave 
3038 W 59th St 
3039 E 91st St 
3050 E 92nd St 
316 N Pulaski Rd 
3210 W Arthington St 
3210 W Arthington St 
3215 W 63rd St 
3222 W Division Ave 
3249 N Central Ave 
3255 W Altgeld St 
338 E 103rd 
338 E 103rd 
3401 W Ainslie St 
3401 W McLean Ave 
3415 W 13th Pl 
3415 W 13th Pl 
3449 W Arthington St 
3449 W Arthington St 
3473 W Columbus 
3601 S Rhodes St 
37 W 47th St 
3701 W Ogden Ave 
3701 W Ogden Ave 
3801 S Wabash Ave 
3901 S State St 
4000 W Division St 
4025 S Drexel St 
4255 W Division St 
4300 N California Ave 
4301 S Cottage Grove Ave 
4301 S Wabash Ave 
4314 S Cottage Grove Ave 
4410 S Laporte Ave 
4444 S Kedzie Ave 
4520 N Beacon St 
4526 S Wabash Ave 
461 E 111th St 
461 E 111th St 
4647 W Washington Blvd 
4650 W Madison St 
4701 N Winthrop Ave 
4754 N Leavitt St 
4800 S Paulina St 
4848 N Winthrop Ave 
4910 S Dr. Martin Luther King Dr 
4941 W Chicago Ave 
50 W 71st St 
500 S Central Ave 
5010 W Chicago Ave 
511 W Elm St 
5121 N Kimball Ave 
5160 S Pulaski RD 
532 W 95th St 
5332 S Western Ave 
5401 S Wentworth Ave 
5423 W Diversey 
5654 W Division St 
5701 W Midway Park 
5738 S KENNETH AVE 
5900 W Iowa St 
5923 W 63rd St 
600 N Leavitt St 
615 W Wellington Ave 
6225 S Wabash Ave 
6245 S Wabash Ave 
6287 S Archer Ave 
6330 S Stony Island Ave 
6401 S Pulaski RD 
6456 S Evans Ave 
6800 S Wentworth Ave 
6824 S Ridgeland Ave 
6921 S Stony Island Ave 
7 E 119th St 
7 E 119th St 
7 N Homan Ave 
7059 N Greenview Ave 
7146 S Ashland Ave 
7222 S Exchange Ave 
730 N Pulaski Rd 
7350 S Jeffery Blvd 
744 N Monticello Ave 
7510 N Ashland Ave 
7601 S Phillips Ave 
7638 N Paulina Ave 
7928 S Ashland Ave 
7939 S Western Ave 
8128 S Dr. Martin Luther King Dr 
8130 S Racine Ave 
8151 S Western Ave 
8316 S Ellis Ave 
8358 S Stony Island Ave 
850 W Eastwood Ave 
857 E Pershing Rd 
8601 S State St 
8716 S Colfax Ave 
9129 S Burley Ave 
932 W Washington Blvd 
941 E 132nd Pl 
941 E 132nd Pl 
950 E 61ST St 
9634 S CHAPPEL AVE 
975 E 132nd St 
975 E 132nd St 
1315 S. Blue Island 
1345 N. Rockwell 
1401 S. Hamlin 
1401 S. Hamlin 
1420 N. Hudson 
328 W. 69Th 
3905 W. Wilcox 
4055 W. Arthington 
4055 W. Arthington 
412 S. Keeler 
4511 S. Evans Ave 
4935 S. Indiana 
5165 S. State St 
638 W. 54Th Pl. 
902 E. 133rd Pl 
902 E. 133rd Pl 
1 E. 113th St. 
1 N. Ogden 
10 S. Kedzie 
10001 S. Woodlawn 
1001 W. Roosevelt Rd 
1020 W. Bryn Mawr 
10232 S. Halsted St. 
1026 W. Buena Ave. 
10317 S. Western 
1052 W. Loyola Ave 
10928 S. Halsted St. 
1100 S. May Street 
11025 S. Halsted St. 
1106-1108 W. 63rd St. 
1110 W. Belmont 
1119 E. 46th St. 
1120 N. Lamon 
1132 S. Homan 
1139 W. 79th St. 
11410 S. Edbrooke 
11443 S. Halsted 
1145 W. Wilson 
11640 S. Wentworth 
1248 W. 69th Street 
1300 E. 75th St. 
1305 N. Hamlin 
1312 S. Racine 
1318 West 95th St. 
1333-45 W. Argyle 
1343 N. California 
1354 W. 61st St. 
1400 W. Augusta Blvd. 
1414 W. 87th St 
1447 W. Devon 
1447 W. Montrose 
1449 S. Keeler 
1500 N. Mason 
1501 N. Harding 
1539 S. Springfield 
1545 W. Morse 
160 N. LaSalle N. 201 
1633 N. Hamlin 
1653 W. 43rd Street 
1701 W. 63rd St. 
1701 W. Superior 
1710-1718 S. Loomis 
1711 W. 35th Street 
1718 S. Loomis 
1723 W. 35th Street 
1754 W. Devon 
1800 N. Humboldt Blvd. 
1802 N. Fairfield 
1814 S. Paulina 
1816 W. Garfield Blvd. 
1834 N. Lawndale 
1845 E. 79th St. 
1900 W. Van Buren 
1919 S. Ashland 
1919 W. Taylor (m/c 525) Rm. 128 
1935 W. 51st St. 
1951 W. 19th St. 
1960 W. 13th St. 
2001 S. Michigan Ave. 
2001 W. Pierce 
2020 W. Roosevelt 
